City,Country,Latitude,Longitude,Monthly Salary,Other Monthly Income,Total Monthly Income,Meals Out,Groceries,Clothing,Transportation,Household,Internet,Leisure,Sports,Rent,Other Monthly Expenses,Total Monthly Expenses,Monthly Savings,Monthly Savings over Income,Montly Expenses over Income,Montlhy Rent over Income
Delft,Netherlands,52.0,4.36,2813.53,0.0,2813.53,91.52,267.6,24.18,50.62,215.19,39.08,68.41,58.73,613.32,0.0,1442.95,1370.58,48.71,51.29,21.8
Dresden,Germany,51.05,13.74,2383.2,0.0,2383.2,82.77,198.4,26.57,61.92,230.38,30.4,53.58,75.24,429.97,0.0,1198.23,1184.97,49.72,50.28,18.04
Dublin,Ireland,53.35,-6.26,2935.33,0.0,2935.33,155.76,244.4,24.48,116.82,216.51,54.64,83.66,80.34,1629.54,0.0,2635.64,299.68,10.21,89.79,55.51
Dubrovnik,Croatia,42.65,18.09,828.18,0.0,828.18,100.0,175.4,21.14,45.14,216.83,22.52,41.27,81.25,356.41,0.0,1073.51,0.0,0.0,129.62,43.04
Dusseldorf,Germany,51.23,6.78,2998.36,0.0,2998.36,97.85,257.8,26.4,77.88,200.87,29.59,64.71,70.51,719.19,0.0,1554.05,1444.31,48.17,51.83,23.99
Eindhoven,Netherlands,51.44,5.48,3294.72,0.0,3294.72,120.73,262.52,21.42,97.35,200.82,39.13,69.61,71.5,918.6,0.0,1818.58,1476.14,44.8,55.2,27.88
Enschede,Netherlands,52.22,6.87,2933.56,0.0,2933.56,116.85,271.52,27.42,55.01,189.79,42.83,67.89,37.31,773.41,0.0,1596.14,1337.42,45.59,54.41,26.36
Erlangen,Germany,49.59,10.98,3334.91,0.0,3334.91,93.97,270.48,25.02,55.68,228.68,29.08,57.46,57.43,519.22,0.0,1346.97,1987.94,59.61,40.39,15.57
Espoo,Finland,60.2,24.66,2794.67,0.0,2794.67,155.79,312.64,30.3,60.36,102.3,14.94,107.12,101.72,806.76,0.0,1726.64,1068.04,38.22,61.78,28.87
Florence,Italy,43.77,11.26,1377.54,0.0,1377.54,116.85,283.24,24.59,34.07,209.79,28.68,60.36,89.94,602.37,0.0,1466.19,0.0,0.0,106.44,43.73
Frankfurt,Germany,50.11,8.68,3109.42,0.0,3109.42,112.93,246.0,27.26,90.63,315.74,35.71,60.36,83.7,838.26,0.0,1820.69,1288.73,41.45,58.55,26.96
Freiburg im Breisgau,Germany,48.0,7.85,2513.32,0.0,2513.32,102.24,239.4,28.99,62.31,249.44,30.59,60.84,72.77,654.09,0.0,1514.12,999.2,39.76,60.24,26.02
Funchal,Portugal,32.65,-16.91,1007.6,0.0,1007.6,65.23,144.6,18.97,34.07,75.35,31.15,36.67,78.86,600.34,0.0,1101.19,0.0,0.0,109.29,59.58
Galway,Ireland,53.27,-9.05,2248.4,0.0,2248.4,125.13,236.96,19.93,58.41,169.98,46.73,74.51,61.93,1031.05,0.0,1851.83,396.57,17.64,82.36,45.86
Gdynia,Poland,54.52,18.6,882.33,0.0,882.33,64.96,148.84,21.41,20.82,184.71,11.02,35.3,61.3,451.14,0.0,1008.85,0.0,0.0,114.34,51.13
Genoa,Italy,44.41,8.93,1305.75,0.0,1305.75,116.85,281.44,25.66,44.78,140.07,28.7,65.74,86.87,453.67,0.0,1264.92,40.83,3.13,96.87,34.74
Gothenburg,Sweden,57.71,11.97,2570.25,0.0,2570.25,96.64,252.72,25.46,72.92,108.21,27.95,87.19,72.99,704.85,0.0,1466.33,1103.92,42.95,57.05,27.42
Granada,Spain,37.17,-3.6,1721.92,0.0,1721.92,87.64,194.92,20.55,38.94,105.1,36.91,39.78,64.04,438.09,0.0,1040.67,681.25,39.56,60.44,25.44
Graz,Austria,47.07,15.44,2147.53,0.0,2147.53,98.82,298.8,29.06,52.67,230.86,32.68,67.62,74.72,507.21,0.0,1405.84,741.69,34.54,65.46,23.62
Grenoble,France,45.19,5.74,1898.37,0.0,1898.37,101.28,306.12,25.05,58.41,155.37,31.37,69.38,56.5,467.29,0.0,1292.77,605.6,31.9,68.1,24.62
Groningen,Netherlands,53.22,6.57,2122.28,0.0,2122.28,136.32,270.8,24.05,87.62,251.15,40.7,62.31,59.69,619.71,0.0,1563.25,559.03,26.34,73.66,29.2
Gzira,Malta,35.91,14.5,1277.75,0.0,1277.75,145.57,281.32,27.9,31.64,113.8,35.23,52.56,119.22,757.19,0.0,1587.28,0.0,0.0,124.22,59.26
Haarlem,Netherlands,52.39,4.64,2601.25,0.0,2601.25,133.88,272.8,35.06,106.12,257.1,47.27,70.81,64.92,1173.97,0.0,2176.03,425.22,16.35,83.65,45.13
Hamburg,Germany,53.55,10.0,2923.16,0.0,2923.16,112.93,243.12,30.57,89.56,265.28,34.88,70.57,109.31,780.36,0.0,1746.53,1176.63,40.25,59.75,26.7
Heidelberg,Germany,49.41,8.69,2877.31,0.0,2877.31,114.42,220.4,26.45,77.88,266.01,36.33,62.81,83.94,679.7,0.0,1580.99,1296.32,45.05,54.95,23.62
Helsinki,Finland,60.17,24.94,2655.81,0.0,2655.81,128.52,274.88,27.2,63.28,100.54,21.11,102.27,106.2,777.98,0.0,1629.03,1026.78,38.66,61.34,29.29
Ingolstadt,Germany,48.76,11.43,2847.56,0.0,2847.56,101.25,253.2,22.26,56.95,213.23,43.81,70.37,94.11,681.14,0.0,1544.97,1302.59,45.74,54.26,23.92
Innsbruck,Austria,47.27,11.39,1815.69,0.0,1815.69,119.29,254.64,27.14,48.68,237.88,35.03,65.72,93.79,719.33,0.0,1611.75,203.94,11.23,88.77,39.62
Ioannina,Greece,39.66,20.85,671.73,0.0,671.73,68.16,200.92,20.65,34.07,224.36,27.62,53.53,84.56,275.37,0.0,1009.64,0.0,0.0,150.3,40.99
Karlsruhe,Germany,49.01,8.4,2673.51,0.0,2673.51,101.25,264.12,28.09,65.23,219.84,35.8,56.93,98.46,602.37,0.0,1480.89,1192.62,44.61,55.39,22.53
Katowice,Poland,50.26,19.02,963.01,0.0,963.01,56.24,147.64,17.4,32.17,210.76,13.25,30.8,44.03,342.33,0.0,902.32,60.69,6.3,93.7,35.55
Kaunas,Lithuania,54.9,23.9,1058.86,0.0,1058.86,78.88,182.36,19.92,27.25,161.21,12.17,52.08,66.34,315.32,0.0,928.58,130.28,12.3,87.7,29.78
Kavala,Greece,40.94,24.41,657.13,0.0,657.13,107.12,212.44,21.26,53.55,197.95,31.08,52.08,89.25,276.76,0.0,1057.29,0.0,0.0,160.89,42.12
Kiel,Germany,54.32,10.14,2287.79,0.0,2287.79,90.72,204.0,27.02,59.39,207.69,30.17,56.96,66.52,451.72,0.0,1202.59,1085.2,47.43,52.57,19.74
Kranj,Slovenia,46.24,14.35,1066.66,0.0,1066.66,64.24,210.04,22.45,29.2,234.5,36.51,37.19,68.34,299.36,0.0,1015.03,51.63,4.84,95.16,28.07
Lagos,Portugal,37.1,-8.67,853.0,0.0,853.0,89.57,164.92,17.24,38.94,94.11,38.94,36.0,77.5,662.0,0.0,1239.12,0.0,0.0,145.27,77.61
Larnaca,Cyprus,34.92,33.62,1199.21,0.0,1199.21,107.12,231.92,24.84,38.94,189.42,34.06,64.71,133.28,570.64,0.0,1414.53,0.0,0.0,117.96,47.58
Leiden,Netherlands,52.16,4.49,3001.71,0.0,3001.71,116.85,269.28,29.51,48.68,182.57,50.62,66.2,87.6,1034.37,0.0,1900.13,1101.58,36.7,63.3,34.46
Leipzig,Germany,51.34,12.37,2061.45,0.0,2061.45,83.72,212.2,21.2,78.85,220.72,36.37,55.98,85.55,375.35,0.0,1179.59,881.86,42.78,57.22,18.21
Leiria,Portugal,39.74,-8.81,1375.11,0.0,1375.11,64.24,135.92,16.07,12.2,165.5,30.51,33.42,72.04,554.91,0.0,1094.41,280.7,20.41,79.59,40.35
Leuven,Belgium,50.88,4.7,2342.49,0.0,2342.49,131.45,250.72,25.36,35.7,187.76,40.68,63.96,59.77,674.17,0.0,1488.17,854.32,36.47,63.53,28.78
Liege,Belgium,50.47,5.77,1998.0,0.0,1998.0,111.99,281.56,28.57,36.75,226.67,45.62,54.75,72.61,511.1,0.0,1384.87,613.13,30.69,69.31,25.58
Lille,France,50.64,3.06,2474.34,0.0,2474.34,103.2,244.92,22.86,58.41,141.86,29.57,76.91,71.23,599.42,0.0,1367.23,1107.11,44.74,55.26,24.23
Limassol,Cyprus,34.69,33.03,1453.43,0.0,1453.43,116.85,220.0,25.91,38.94,193.11,34.98,51.57,113.29,930.41,0.0,1743.46,0.0,0.0,119.96,64.01
Linz,Austria,48.31,14.29,2052.75,0.0,2052.75,114.89,277.4,27.26,48.68,196.25,36.99,63.26,82.64,563.43,0.0,1424.15,628.6,30.62,69.38,27.45
Lisbon,Portugal,38.71,-9.14,1039.64,0.0,1039.64,95.4,179.24,21.66,38.94,120.81,32.87,41.35,58.91,751.48,0.0,1356.11,0.0,0.0,130.44,72.28
Ljubljana,Slovenia,46.05,14.51,1286.19,0.0,1286.19,79.85,215.36,24.61,36.02,234.25,32.08,45.98,77.24,526.96,0.0,1287.25,0.0,0.0,100.08,40.97
Lublin,Poland,51.25,22.57,798.25,0.0,798.25,48.3,130.12,18.09,24.78,152.69,12.05,29.1,49.98,402.07,0.0,875.78,0.0,0.0,109.71,50.37
Luxembourg,Luxembourg,49.61,6.13,3946.89,0.0,3946.89,160.63,328.04,31.5,0.0,278.92,52.19,74.51,90.18,1418.91,0.0,2452.28,1494.61,37.87,62.13,35.95
Lyon,France,45.76,4.83,2507.63,0.0,2507.63,116.85,316.96,25.82,64.45,170.44,35.93,82.69,67.59,562.27,0.0,1465.04,1042.58,41.58,58.42,22.42
Maastricht,Netherlands,50.85,5.69,2839.45,0.0,2839.45,114.89,274.88,25.69,48.68,302.98,41.37,59.63,49.9,885.91,0.0,1817.88,1021.57,35.98,64.02,31.2
Madrid,Spain,40.42,-3.7,1930.47,0.0,1930.47,95.4,196.32,22.25,53.1,153.44,35.2,51.62,62.77,775.57,0.0,1457.77,472.7,24.49,75.51,40.18
Mainz,Germany,50.0,8.27,2855.68,0.0,2855.68,70.59,251.28,32.11,79.44,319.32,34.07,62.29,71.79,669.3,0.0,1600.69,1254.99,43.95,56.05,23.44
Mannheim,Germany,49.49,8.47,2790.78,0.0,2790.78,101.25,242.64,26.16,73.01,253.72,32.24,58.61,77.78,466.32,0.0,1340.48,1450.3,51.97,48.03,16.71
Marbella,Spain,36.51,-4.89,1637.96,0.0,1637.96,130.46,172.36,23.9,35.4,115.3,29.2,50.69,99.41,681.47,0.0,1347.14,290.82,17.76,82.24,41.6
Maribor,Slovenia,46.56,15.65,1215.83,0.0,1215.83,64.74,187.44,21.1,29.2,201.53,31.97,39.44,64.58,344.38,0.0,999.08,216.75,17.83,82.17,28.32
Marseille,France,43.3,5.37,2398.38,0.0,2398.38,107.09,288.4,24.7,48.68,140.16,29.34,69.61,57.99,519.22,0.0,1307.09,1091.29,45.5,54.5,21.65
Milan,Italy,45.46,9.19,1753.18,0.0,1753.18,155.76,287.16,30.35,37.97,199.83,27.44,73.03,122.05,808.36,0.0,1758.35,0.0,0.0,100.3,46.11
Miskolc,Hungary,48.1,20.79,603.74,0.0,603.74,52.26,151.08,14.45,18.29,120.67,12.47,20.87,43.94,205.87,0.0,648.6,0.0,0.0,107.43,34.1
Montpellier,France,43.61,3.88,2765.72,0.0,2765.72,109.05,278.52,22.62,29.2,133.83,34.07,68.36,55.49,562.48,0.0,1317.67,1448.05,52.36,47.64,20.34
Monza,Italy,45.64,9.28,1842.29,0.0,1842.29,137.78,248.04,27.79,43.81,158.43,26.4,65.73,79.57,438.09,0.0,1244.34,597.95,32.46,67.54,23.78
Munich,Germany,48.14,11.58,3203.46,0.0,3203.46,119.29,281.84,26.57,57.54,279.76,34.85,62.26,83.95,980.44,0.0,1940.5,1262.96,39.42,60.58,30.61
Murcia,Spain,37.99,-1.13,1240.03,0.0,1240.03,95.4,170.48,20.46,24.33,119.36,30.41,35.72,50.89,600.34,0.0,1157.69,82.34,6.64,93.36,48.41
Nantes,France,47.22,-1.55,2099.58,0.0,2099.58,109.05,290.72,25.55,53.55,162.2,31.29,72.06,63.56,502.59,0.0,1330.67,768.91,36.62,63.38,23.94
Naples,Italy,40.84,14.25,1301.28,0.0,1301.28,107.12,209.92,22.64,36.02,138.2,28.16,54.02,98.48,373.19,0.0,1086.7,214.58,16.49,83.51,28.68
Nice,France,43.7,7.27,2270.33,0.0,2270.33,144.58,329.56,22.29,41.02,179.21,31.15,95.41,66.98,682.77,0.0,1614.17,656.16,28.9,71.1,30.07
Nicosia,Cyprus,35.17,33.36,1339.29,0.0,1339.29,99.32,207.12,24.12,38.94,152.14,29.06,58.38,98.98,484.47,0.0,1209.32,129.97,9.7,90.3,36.17
Nijmegen,Netherlands,51.85,5.86,2758.32,0.0,2758.32,126.58,273.56,31.68,131.43,174.01,35.74,73.55,81.4,778.82,0.0,1720.72,1037.6,37.62,62.38,28.24
Nuremberg,Germany,49.45,11.08,2764.26,0.0,2764.26,87.64,212.16,26.2,77.88,218.1,32.28,59.86,70.81,455.93,0.0,1250.56,1513.71,54.76,45.24,16.49
Odense,Denmark,55.4,10.39,2674.66,0.0,2674.66,183.33,314.8,23.77,65.48,194.94,31.09,92.29,60.95,615.51,0.0,1600.91,1073.75,40.15,59.85,23.01
Oeiras,Portugal,38.69,-9.31,997.87,0.0,997.87,70.08,192.84,22.28,38.94,116.62,36.49,38.32,57.52,717.98,0.0,1309.42,0.0,0.0,131.22,71.95
Olomouc,Czech Republic,49.59,17.25,1212.95,0.0,1212.95,57.97,192.16,21.81,13.99,192.58,17.99,30.34,63.34,373.01,0.0,974.04,238.91,19.7,80.3,30.75
Olsztyn,Poland,53.78,20.48,735.7,0.0,735.7,52.04,131.68,17.15,16.66,193.64,10.62,23.55,41.08,301.91,0.0,796.68,0.0,0.0,108.29,41.04
Oradea,Romania,47.05,21.93,491.74,0.0,491.74,67.24,166.16,13.66,15.83,70.56,7.49,36.03,62.14,178.94,0.0,626.05,0.0,0.0,127.31,36.39
Ostrava,Czech Republic,49.83,18.28,1226.09,0.0,1226.09,60.78,183.16,22.11,19.98,237.87,16.79,32.58,53.35,377.7,0.0,1014.97,211.12,17.22,82.78,30.81
Oulu,Finland,65.01,25.47,2365.31,0.0,2365.31,107.08,289.64,30.32,51.11,95.59,23.47,91.32,80.47,481.89,0.0,1281.59,1083.72,45.82,54.18,20.37
Oviedo,Spain,43.36,-5.85,1889.02,0.0,1889.02,83.23,207.2,22.57,38.94,123.64,37.13,41.13,50.87,394.28,0.0,1011.54,877.48,46.45,53.55,20.87
Paderborn,Germany,51.72,8.75,2239.11,0.0,2239.11,120.72,288.04,31.02,58.56,252.31,36.51,52.85,82.75,486.76,0.0,1421.52,817.59,36.51,63.49,21.74
Padova,Italy,45.39,11.81,1440.9,0.0,1440.9,114.91,231.84,24.53,36.02,252.84,28.78,56.47,84.84,419.84,0.0,1263.47,177.43,12.31,87.69,29.14
Palermo,Italy,38.11,13.35,1233.13,0.0,1233.13,87.64,213.48,24.38,35.53,187.3,28.88,52.08,87.29,340.73,0.0,1071.81,161.32,13.08,86.92,27.63
Pamplona,Spain,42.82,-1.65,2498.95,0.0,2498.95,95.4,220.64,25.38,29.2,109.22,36.99,43.4,45.61,669.3,0.0,1290.79,1208.16,48.35,51.65,26.78
Pardubice,Czech Republic,50.04,15.78,1132.35,0.0,1132.35,48.73,181.48,25.34,19.59,191.83,17.44,35.7,56.24,419.64,0.0,1007.19,125.16,11.05,88.95,37.06
Paris,France,48.86,2.32,2542.81,0.0,2542.81,116.85,334.0,28.95,73.01,184.26,28.97,87.64,60.99,928.09,0.0,1866.51,676.3,26.6,73.4,36.5
Parma,Italy,44.7,10.1,1446.3,0.0,1446.3,126.58,252.12,29.71,34.07,192.76,29.2,63.55,86.31,438.09,0.0,1276.34,169.96,11.75,88.25,30.29
Pescara,Italy,42.31,13.96,1237.77,0.0,1237.77,128.53,234.36,28.98,33.58,189.84,29.2,56.98,85.17,421.86,0.0,1225.0,12.77,1.03,98.97,34.08
Pisa,Italy,43.47,10.68,1314.26,0.0,1314.26,105.13,274.64,28.54,31.15,196.18,27.25,65.26,67.81,523.27,0.0,1337.53,0.0,0.0,101.77,39.81
Plovdiv,Bulgaria,42.14,24.75,633.83,0.0,633.83,59.22,162.4,17.27,24.69,74.89,11.32,30.88,41.22,202.11,0.0,635.05,0.0,0.0,100.19,31.89
Pordenone,Italy,45.96,12.66,1443.31,0.0,1443.31,116.85,239.72,21.62,43.81,193.83,30.3,61.3,71.07,440.03,0.0,1235.08,208.23,14.43,85.57,30.49
Porto,Portugal,41.15,-8.61,956.85,0.0,956.85,73.98,171.0,21.81,38.94,112.14,33.0,33.59,68.36,581.98,0.0,1149.1,0.0,0.0,120.09,60.82
Poznan,Poland,52.4,16.92,896.85,0.0,896.85,56.24,144.44,19.67,24.98,120.48,13.17,32.38,54.98,401.64,0.0,877.93,18.92,2.11,97.89,44.78
Riga,Latvia,56.95,24.11,1008.03,0.0,1008.03,89.56,201.64,21.9,48.68,281.5,16.44,51.57,80.92,313.23,0.0,1120.84,0.0,0.0,111.19,31.07
Rimini,Italy,43.95,12.63,1557.64,0.0,1557.64,116.85,241.32,24.42,32.61,181.62,27.6,59.38,77.69,547.61,0.0,1321.55,236.09,15.16,84.84,35.16
Rome,Italy,41.89,12.48,1459.36,0.0,1459.36,128.5,268.0,25.61,34.07,182.77,27.03,66.22,83.59,672.62,0.0,1506.86,0.0,0.0,103.25,46.09
Rotterdam,Netherlands,51.92,4.48,2945.64,0.0,2945.64,121.72,268.2,22.44,77.88,208.18,39.6,67.66,48.22,955.18,0.0,1823.28,1122.36,38.1,61.9,32.43
